Title,Type,Episodes,Status,Start airing,End airing,Starting season,Studios,Sources,Genres,Rating,Score,Scored by,Members,Favorites
Hitorijime My Hero,TV,12,Finished Airing,7/8/2017,9/23/2017,Summer,Encourage Films,Manga,"Drama,Romance,School,Shounen Ai,Slice of Life",PG-13,7.61,15702,40241,462
Jewelpet Twinkle,TV,52,Finished Airing,4/3/2010,4/2/2011,Spring,Studio Comet,Original,"Fantasy,Magic,School,Shoujo",PG,7.61,1929,5460,69
Kappa no Coo to Natsuyasumi,Movie,1,Finished Airing,7/28/2007,-,-,Shin-Ei Animation,Original,"Adventure,Shounen",PG,7.61,3805,8878,20
Little Busters!,TV,26,Finished Airing,10/6/2012,4/6/2013,Fall,J.C.Staff,Visual novel,"Slice of Life,Comedy,Supernatural,Drama,School",PG-13,7.61,65961,173433,1603
Mobile Fighter G Gundam,TV,49,Finished Airing,4/1/1994,3/31/1995,Spring,Sunrise,Original,"Sci-Fi,Adventure,Space,Comedy,Sports,Drama,Romance,Martial Arts,Mecha",PG-13,7.61,23821,42914,723
Mobile Suit Gundam Wing: Operation Meteor,OVA,4,Finished Airing,4/25/1996,10/25/1996,-,Sunrise,Original,"Action,Military,Sci-Fi,Adventure,Space,Psychological,Drama,Mecha",PG-13,7.61,2856,7877,27
Nanbaka 2,ONA,12,Finished Airing,1/4/2017,3/22/2017,-,Satelight,Web manga,"Action,Comedy,Drama",PG-13,7.61,21942,47302,190
Naruto: Shippuuden Movie 5 - Blood Prison,Movie,1,Finished Airing,7/30/2011,-,-,Studio Pierrot,Manga,"Action,Adventure,Martial Arts,Super Power,Mystery,Shounen",PG-13,7.61,59525,100488,105
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Movie,1,Finished Airing,3/1/2008,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Fantasy,Shounen",PG-13,7.61,19853,35894,23
Patalliro!,TV,49,Finished Airing,4/9/1982,5/13/1983,Spring,Toei Animation,Manga,"Adventure,Comedy,Romance,Shoujo,Shounen Ai",PG,7.61,503,3358,47
Patapata Hikousen no Bouken,TV,26,Finished Airing,1/5/2002,6/29/2002,Winter,Telecom Animation Film,Novel,"Adventure,Sci-Fi",PG-13,7.61,1178,3669,24
Pokemon XY: Mega Evolution,Special,4,Finished Airing,4/3/2014,10/29/2015,-,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",PG,7.61,7941,14299,20
Saint†Oniisan,OVA,2,Finished Airing,12/3/2012,8/23/2013,-,A-1 Pictures,Manga,"Comedy,Seinen,Slice of Life",PG-13,7.61,21879,46339,150
Saki Achiga-hen: Episode of Side-A Specials,Special,4,Finished Airing,2/20/2013,8/21/2013,-,Studio Gokumi,Manga,"Game,Slice of Life,School",PG-13,7.61,5911,10400,21
Shoubushi Densetsu Tetsuya,TV,20,Finished Airing,10/7/2000,3/24/2001,Fall,Toei Animation,Manga,"Game,Historical,Shounen",R,7.61,1849,4733,21
"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",Special,3,Finished Airing,9/25/1998,9/25/1999,-,-,Manga,"Comedy,Shoujo",G,7.61,10950,21762,312
Aggressive Retsuko,TV,100,Finished Airing,4/2/2016,3/31/2018,Spring,Fanworks,Original,"Music,Comedy",PG,7.6,2232,12019,78
Angel Beats!: Another Epilogue,Special,1,Finished Airing,12/22/2010,-,-,P.A. Works,Original,"Supernatural,Drama,School",PG-13,7.6,100042,161691,229
Chuunibyou demo Koi ga Shitai! Ren,TV,12,Finished Airing,1/9/2014,3/27/2014,Winter,Kyoto Animation,Light novel,"Comedy,Drama,Romance,School,Slice of Life",PG-13,7.6,174732,296546,1310
Donten ni Warau,TV,12,Finished Airing,10/4/2014,12/20/2014,Fall,Doga Kobo,Manga,"Action,Historical,Shoujo,Supernatural",PG-13,7.6,28726,74185,550
Hello!! Kiniro Mosaic,TV,12,Finished Airing,4/6/2015,6/22/2015,Spring,Studio Gokumi,4-koma manga,"Slice of Life,Comedy,School,Seinen",PG-13,7.6,21166,45427,205
